Date,Medicine name,Opening stock,New stock,Stock out,Closing stock,Expiry date
01/31/2025,prega news,24,0,5,19,
11/01/2024,rabesec-dsr,23,0,,23,08/06/2025
12/01/2024,rabesec-dsr,23,15,6,32,07/30/2025
01/01/2025,rabesec-dsr,32,0,5,27,
01/31/2025,rabesec-dsr,27,0,4,23,
11/01/2024,remium gold,4,50,,54,10/07/2025
12/01/2024,remium gold,54,0,15,39,
01/01/2025,remium gold,39,0,14,25,
01/31/2025,remium gold,25,50,8,67,10/20/2025
11/01/2024,rexcof,4,0,,4,12/18/2025
12/01/2024,rexcof,4,0,2,2,
01/01/2025,rexcof,2,15,1,16,12/13/2025
01/31/2025,rexcof,16,0,3,13,
11/01/2024,safi,6,0,,6,08/21/2025
12/01/2024,safi,6,10,2,14,06/17/2025
01/01/2025,safi,14,0,1,13,
01/31/2025,safi,13,0,1,12,
11/01/2024,saroglitazar,44,0,,44,10/04/2025
12/01/2024,saroglitazar,44,0,1,43,
01/01/2025,saroglitazar,43,0,3,40,
01/31/2025,saroglitazar,40,0,3,37,
11/01/2024,skinshine cream,17,0,,17,04/25/2026
12/01/2024,skinshine cream,17,0,2,15,
01/01/2025,skinshine cream,15,,1,14,
01/31/2025,skinshine cream,14,10,1,23,10/14/2025
11/01/2024,stayfree ,20,0,,20,01/07/2026
12/01/2024,stayfree ,20,0,5,15,
01/01/2025,stayfree ,15,0,5,10,
01/31/2025,stayfree ,10,0,6,4,
11/01/2024,swarna bhasma,15,0,,15,06/06/2025
12/01/2024,swarna bhasma,15,0,2,13,
01/01/2025,swarna bhasma,13,0,2,11,
01/31/2025,swarna bhasma,11,0,2,9,
11/01/2024,vildax m,13,0,,13,03/07/2026
12/01/2024,vildax m,13,0,10,3,
01/01/2025,vildax m,3,20,4,19,05/15/2026
01/31/2025,vildax m,19,20,9,30,08/30/2025
11/01/2024,wakuff dx,16,0,,16,10/11/2025
12/01/2024,wakuff dx,16,0,1,15,
01/01/2025,wakuff dx,15,0,1,14,
01/31/2025,wakuff dx,14,0,1,13,
11/01/2024,whisper,27,0,,27,08/05/2025
12/01/2024,whisper,27,0,2,25,
01/01/2025,whisper,25,0,4,21,
01/31/2025,whisper,21,20,5,36,04/28/2026
